1000;tisoü
2000;dva tisoü
3000;tri tisoü
4000;Átiri tisoü
5000;pet tisoü
6000;Áest tisoü
7000;sedem tisoü
8000;osem tisoü
9000;devet tisoü
10000;deset tisoü
