Ne moram položiti novac u banku;Ni mi treba položiti denarja na banki
Ne trebam iæi u restoran;Ni mi treba iti v restavracijo
Moram koristiti raèunalo;Uporabljati moram raèunalnik
Trebam prijeæi ulicu;Preèkati moram cesto
Moram potrošiti novac;Porabiti moram denar
Moram ga poslati poštom;Poslati ga moram po pošti
Moram stajati u redu;Stati moram v vrsti
Moram iæi u šetnju;Moram iti na sprehod
Moram se vratiti kuæi;Nazaj domov moram
Moram iæi na spavanje;Moram iti spat

Ne trebam gledati film;Ni mi treba gledati filma
