Želim iæi na skijanje na vodi;Rad bi smuèal na vodi
Želim iæi u park;Rad bi šel v park
Želim iæi na jezero;Rad bi šel na jezero
Želim skijati;Rad bi smuèal
Želim putovati;Rad bi potoval
Želim iæi na vožnju brodom;Rad bi šel èolnarit
Želim se kartati;Rad bi kartal
Ne želim iæi na kampiranje;Noèem iti kampirat
Ne želim iæi jedriti;Noèem iti na jadranje
Ne želim iæi u ribolov;Noèem loviti rib
Ne želim iæi plivati;Noèem iti plavat
Ne želim igrati videoigre;Noèem igrati video igric

Želim se sunèati;Rad bi se sonèil
