SunŸev sustav;Solarni sistem
Sunce;Sonce
Merkur;Merkur
Venera;Venera
Zemlja;Zemlja
Mars;Mars
Jupiter;Jupiter
Saturn;Saturn
Uran;Uran
Neptun;Neptun
Pluton;Pluton
;
