Htio bih rezervirati stol za dvoje;Rad bi rezerviral mizo za dva
Mogu li vidjeti jelovnik?;Lahko vidim meni?
Što preporuèujete?;Kaj priporoèate?
Što je ukljuèeno?;Kaj je vkljuèeno?
Je li to ide sa salatom?;Ali je zraven tudi solata?
Koja je juha dana?;Kaj je juha dneva?
Koji su današnji specijaliteti?;Kaj je v današnji posebni ponudbi?
Što biste željeli jesti?;Kaj bi radi jedli?
Desert dana;Sladica dneva
Htio bih probati neko regionalno jelo;Rad bi poskusil kakšno lokalno jed
Koju vrstu mesa imate?;Kakšne vrste mesa imate?
Trebam ubrus;Potrebujem prtièek
Možete li mi dati još vode?;Ali mi lahko nalijete še malo vode?
Možete li mi dodati sol?;Mi podate sol; prosim?
Možete li mi donijeti voæe?;Mi lahko prinesete sadje?

Trebamo stol za èetvero;Potrebujemo mizo za štiri
