Let;Let
Karta;Vozovnica
Broj leta;Številka leta
Ulaz za ukrcaj;Izhod za vkrcanje
Karta za ukrcaj;Letalska vozovnica
Ja bih sjedalo do prolaza;Rad bi sedež ob prehodu
Ja bih sjedalo do prozora;Rad bi sedež ob oknu
Zašto avion kasni?;Zakaj ima letalo zamudo?
Dolazak;Prihod
Odlazak;Odhod
Zgrada terminala;Terminal
Tražim terminal A;Išèem terminal A
Terminal B je za meðunarodne letove;Terminal B je za mednarodne lete
Koji terminal trebate?;Kateri terminal potrebujete?
Detektor metala;Detektor kovin
Rendgenski ureðaj;Rentgen
Bescarinska prodavaonica;Brezcarinsko
Dizalo;Dvigalo
Pokretni nogostup;Tekoèa steza

Zraèna luka;Letališèe
